Name,Antoine A,Antoine B,Antoine C,Mass Density,Molecular Weight,Molar Heat Capacity,Comments
propyleneglycol,9.1876,2651.3,232.783,1036.1,76.0623,189.9,
"1,3-butanediol",8.9786,2583.1,216.613,1005.3,90.0782,227.2,
"1,3-propanediol",9.7387,3368.8,276.828,1053.8,76.0623,240,Cp made up from ave
"1,4-butanediol",9.3754,3080.2,246.268,1017.1,90.0782,178,
"1,5-pentanediol",9.2135,2982.2,231.918,991.4,104.0941,240,Cp made up from ave
1-heptanal,7.321,1635.5,215.534,813.2,114.1106,230.78,
1-heptanol,7.1882,1482.1,167.773,821.9,116.1264,270.8,
1-hexanol,7.3475,1538.8,187.498,813.6,102.1106,243,
1-methylcyclohexanol,7.6632,1686.7,195.694,919.4,114.1106,279.05,
1-nonanal,7.4254,1825.7,206.718,826.4,142.1423,240,Cp made up from ave
1-octanal,7.3895,1739,211.697,821.1,128.1264,240,Cp made up from ave
1-octanol,7.1603,1536.8,163.905,826.2,130.1423,304,
1-tridecanal,7.6134,2142.8,185.784,835.6,198.2058,240,Cp made up from ave
2-(2-ethoxyethoxy)ethanol,8.3377,2276.2,215.123,1020.9,134.1094,240,Cp made up from ave
2-(2-methoxyethoxy)ethanol,8.2887,2210.7,215.198,1035,120.0935,240,Cp made up from ave
"2,6-dimethyl-4-heptanol",7.8067,1884.1,204.641,811.4,144.1582,240,Cp made up from ave
2-butoxyethanol,8.2901,2182.9,232.223,901.5,118.11,270.6,
2-ethyl butyric acid,7.6032,1858.3,199.698,947,116.0941,240,"density from thegoodscentscompany, Cp made up from ave"
2-ethyl-1-hexanol,7.0555,1461.7,165.52,831.9,130.1423,317.5,
2-ethylhexanal,7.3529,1689.3,217.09,854,128.1264,240,Cp made up from ave
2-ethylhexyl acetate,7.5092,1918.2,215.849,871.8,172.1576,240,Cp made up from ave
2-ethylhexyl acrylate,7.7768,2222.2,237.874,880,184.1576,240,Cp made up from ave
2-heptanone,7.1622,1551.8,211.559,811.1,114.1106,240,Cp made up from ave
2-hydroxyethyl acrylate,8.3843,2402.3,225.655,1011,116.0617,240,Cp made up from ave
2-methylbenzofuran,7.2208,1766.5,209.527,1054,132.0629,240,Cp made up from ave
2-methylbutyric acid,7.6853,1883.3,215,934,102.0782,240,Cp made up from ave
2-nonanol,7.8794,1966.5,194.918,847.1,144.1582,240,Cp made up from ave
2-octanol,6.993,1420.1,165.53,819.3,130.1423,330.1,
2-octanone,7.085,1475.8,178.43,820,128.1264,273.26,
2-phenylethanol,8.2564,2462,239.1,1017,122.0788,252.64,density from wikipedia
3-methylbutanoic acid,7.6943,1822.5,203.53,931,102.0782,197.1,
5-methyl-1-hexanol,7.704,1748.9,190.596,819.2,116.1264,240,Cp made up from ave
5-methyl-2-hexanone,7.2596,1590.9,218.518,888,114.1106,240,Cp made up from ave
acetophenone,7.4,1901.2,218.697,1028.1,120.0629,227.6,density from Merck or MSDS
acetylacetone,7.4384,1600,210.655,972.1,100.0623,240,Cp made up from ave
acrylic acid,7.8256,1817.7,226.609,1051.1,72.0306,145.7,
adipic acid,10.8289,4201.3,226.2517,1360,146,240,Cp made up from ave
anethole,7.2911,1918.6,199.732,988.2,148.0947,240,Cp made up from ave
anisole,7.3262,1674.5,223.096,994,108.0629,199,
